date,areaType,areaCode,areaName,cumCasesByPublishDateRate
"2020-12-19",region,E12000001,North East,4162.2
"2020-12-18",region,E12000001,North East,
"2020-12-17",region,E12000001,North East,
"2020-12-16",region,E12000001,North East,
"2020-12-15",region,E12000001,North East,
"2020-12-14",region,E12000001,North East,
"2020-12-13",region,E12000001,North East,
"2020-12-12",region,E12000001,North East,
"2020-12-11",region,E12000001,North East,
"2020-12-10",region,E12000001,North East,
"2020-12-09",region,E12000001,North East,
"2020-12-08",region,E12000001,North East,
"2020-12-07",region,E12000001,North East,
"2020-12-06",region,E12000001,North East,
"2020-12-05",region,E12000001,North East,
"2020-12-04",region,E12000001,North East,
"2020-12-03",region,E12000001,North East,
"2020-12-02",region,E12000001,North East,
"2020-12-01",region,E12000001,North East,
"2020-11-30",region,E12000001,North East,
"2020-11-29",region,E12000001,North East,
"2020-11-28",region,E12000001,North East,
"2020-11-27",region,E12000001,North East,
"2020-11-26",region,E12000001,North East,
"2020-11-25",region,E12000001,North East,
"2020-11-24",region,E12000001,North East,
"2020-11-23",region,E12000001,North East,
"2020-11-22",region,E12000001,North East,
"2020-11-21",region,E12000001,North East,
"2020-11-20",region,E12000001,North East,
"2020-11-19",region,E12000001,North East,
"2020-11-18",region,E12000001,North East,
"2020-11-17",region,E12000001,North East,
"2020-11-16",region,E12000001,North East,
"2020-11-15",region,E12000001,North East,
"2020-11-14",region,E12000001,North East,
"2020-11-13",region,E12000001,North East,
"2020-11-12",region,E12000001,North East,
"2020-11-11",region,E12000001,North East,
"2020-11-10",region,E12000001,North East,
"2020-11-09",region,E12000001,North East,
"2020-11-08",region,E12000001,North East,
"2020-11-07",region,E12000001,North East,
"2020-11-06",region,E12000001,North East,
"2020-11-05",region,E12000001,North East,
"2020-11-04",region,E12000001,North East,
"2020-11-03",region,E12000001,North East,
"2020-11-02",region,E12000001,North East,
"2020-11-01",region,E12000001,North East,
"2020-10-31",region,E12000001,North East,
"2020-10-30",region,E12000001,North East,
"2020-10-29",region,E12000001,North East,
"2020-10-28",region,E12000001,North East,
"2020-10-27",region,E12000001,North East,
"2020-10-26",region,E12000001,North East,
"2020-10-25",region,E12000001,North East,
"2020-10-24",region,E12000001,North East,
"2020-10-23",region,E12000001,North East,
"2020-10-22",region,E12000001,North East,
"2020-10-21",region,E12000001,North East,
"2020-10-20",region,E12000001,North East,
"2020-10-19",region,E12000001,North East,
"2020-10-18",region,E12000001,North East,
"2020-10-17",region,E12000001,North East,
"2020-10-16",region,E12000001,North East,
"2020-10-15",region,E12000001,North East,
"2020-10-14",region,E12000001,North East,
"2020-10-13",region,E12000001,North East,
"2020-10-12",region,E12000001,North East,
"2020-10-11",region,E12000001,North East,
