date,areaType,areaCode,areaName,cumCasesByPublishDateRate,cumDeathsByPublishDateRate,newCasesByPublishDateRollingRate
18/12/2020,region,E12000001,North East,4142.3,170.9,158
17/12/2020,region,E12000001,North East,,170,164.5
16/12/2020,region,E12000001,North East,,169.1,172
15/12/2020,region,E12000001,North East,,167.4,167.8
14/12/2020,region,E12000001,North East,,166.3,165.7
13/12/2020,region,E12000001,North East,,166,164.1
12/12/2020,region,E12000001,North East,,165.5,163
11/12/2020,region,E12000001,North East,,164.6,156.1
10/12/2020,region,E12000001,North East,,163.7,156.4
09/12/2020,region,E12000001,North East,,162.3,151.2
08/12/2020,region,E12000001,North East,,161.3,147.6
07/12/2020,region,E12000001,North East,,158.8,156.3
06/12/2020,region,E12000001,North East,,158.4,158.6
05/12/2020,region,E12000001,North East,,158.1,160.7
04/12/2020,region,E12000001,North East,,157.1,166.9
03/12/2020,region,E12000001,North East,,156,170.9
02/12/2020,region,E12000001,North East,,154.9,180.2
01/12/2020,region,E12000001,North East,,153.4,190.9
30/11/2020,region,E12000001,North East,,151.3,189.4
29/11/2020,region,E12000001,North East,,151.2,197
28/11/2020,region,E12000001,North East,,151,206
27/11/2020,region,E12000001,North East,,149.7,219.3
26/11/2020,region,E12000001,North East,,147.9,243
25/11/2020,region,E12000001,North East,,146.7,257.6
24/11/2020,region,E12000001,North East,,144.4,283.1
23/11/2020,region,E12000001,North East,,142.4,308.5
22/11/2020,region,E12000001,North East,,142,407.1
21/11/2020,region,E12000001,North East,,140.2,431.3
20/11/2020,region,E12000001,North East,,139.2,450.5
19/11/2020,region,E12000001,North East,,138.1,467.1
18/11/2020,region,E12000001,North East,,137.2,496.9
17/11/2020,region,E12000001,North East,,135.9,501.2
16/11/2020,region,E12000001,North East,,133.6,502.3
15/11/2020,region,E12000001,North East,,132.8,426.4
14/11/2020,region,E12000001,North East,,132.5,427.3
13/11/2020,region,E12000001,North East,,131.2,418.7
12/11/2020,region,E12000001,North East,,130.2,402.6
11/11/2020,region,E12000001,North East,,128.7,383.3
10/11/2020,region,E12000001,North East,,127.2,368.4
09/11/2020,region,E12000001,North East,,125.8,368.3
08/11/2020,region,E12000001,North East,,125.4,357
07/11/2020,region,E12000001,North East,,125,344.5
06/11/2020,region,E12000001,North East,,124.2,335.9
05/11/2020,region,E12000001,North East,,123.2,321
04/11/2020,region,E12000001,North East,,122.2,304.7
03/11/2020,region,E12000001,North East,,121.2,295.3
02/11/2020,region,E12000001,North East,,119.8,290.1
01/11/2020,region,E12000001,North East,,119.4,287.5
31/10/2020,region,E12000001,North East,,118.9,282.9
30/10/2020,region,E12000001,North East,,117.6,282.4
29/10/2020,region,E12000001,North East,,116.7,290.8
28/10/2020,region,E12000001,North East,,115.8,300.4
27/10/2020,region,E12000001,North East,,115.1,332.9
26/10/2020,region,E12000001,North East,,113.5,343.2
25/10/2020,region,E12000001,North East,,113.1,333.4
24/10/2020,region,E12000001,North East,,112.5,314.9
23/10/2020,region,E12000001,North East,,112.4,313.1
22/10/2020,region,E12000001,North East,,111.6,309.4
21/10/2020,region,E12000001,North East,,111,307.1
20/10/2020,region,E12000001,North East,,110.2,282.4
19/10/2020,region,E12000001,North East,,108.4,267.7
18/10/2020,region,E12000001,North East,,108.1,284.3
17/10/2020,region,E12000001,North East,,108.1,299.7
